Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 11:59:11 2023 local_rank: 0, epoch: 1, step: 54849, loss is 0.157
time: Tue Dec 19 11:59:54 2023 local_rank: 0, epoch: 1, step: 54854, loss is 0.1628
time: Tue Dec 19 12:00:37 2023 local_rank: 0, epoch: 1, step: 54859, loss is 0.17
time: Tue Dec 19 12:01:20 2023 local_rank: 0, epoch: 1, step: 54864, loss is 0.12366
time: Tue Dec 19 12:02:02 2023 local_rank: 0, epoch: 1, step: 54869, loss is 0.1262
time: Tue Dec 19 12:02:45 2023 local_rank: 0, epoch: 1, step: 54874, loss is 0.11584
time: Tue Dec 19 12:03:28 2023 local_rank: 0, epoch: 1, step: 54879, loss is 0.11444
time: Tue Dec 19 12:04:11 2023 local_rank: 0, epoch: 1, step: 54884, loss is 0.1167
time: Tue Dec 19 12:04:54 2023 local_rank: 0, epoch: 1, step: 54889, loss is 0.11053
time: Tue Dec 19 12:05:37 2023 local_rank: 0, epoch: 1, step: 54894, loss is 0.1163
time: Tue Dec 19 12:06:19 2023 local_rank: 0, epoch: 1, step: 54899, loss is 0.1218
time: Tue Dec 19 12:07:03 2023 local_rank: 0, epoch: 1, step: 54904, loss is 0.1254
time: Tue Dec 19 12:07:46 2023 local_rank: 0, epoch: 1, step: 54909, loss is 0.1273
time: Tue Dec 19 12:08:29 2023 local_rank: 0, epoch: 1, step: 54914, loss is 0.1265
time: Tue Dec 19 12:09:12 2023 local_rank: 0, epoch: 1, step: 54919, loss is 0.1295
time: Tue Dec 19 12:09:55 2023 local_rank: 0, epoch: 1, step: 54924, loss is 0.12494
time: Tue Dec 19 12:10:38 2023 local_rank: 0, epoch: 1, step: 54929, loss is 0.1193
time: Tue Dec 19 12:11:21 2023 local_rank: 0, epoch: 1, step: 54934, loss is 0.12476
time: Tue Dec 19 12:12:04 2023 local_rank: 0, epoch: 1, step: 54939, loss is 0.11633
time: Tue Dec 19 12:12:46 2023 local_rank: 0, epoch: 1, step: 54944, loss is 0.1262
time: Tue Dec 19 12:13:29 2023 local_rank: 0, epoch: 1, step: 54949, loss is 0.1209
time: Tue Dec 19 12:14:12 2023 local_rank: 0, epoch: 1, step: 54954, loss is 0.1209
time: Tue Dec 19 12:14:55 2023 local_rank: 0, epoch: 1, step: 54959, loss is 0.11884
time: Tue Dec 19 12:15:39 2023 local_rank: 0, epoch: 1, step: 54964, loss is 0.1426
time: Tue Dec 19 12:16:22 2023 local_rank: 0, epoch: 1, step: 54969, loss is 0.1355
time: Tue Dec 19 12:17:05 2023 local_rank: 0, epoch: 1, step: 54974, loss is 0.1385
time: Tue Dec 19 12:17:48 2023 local_rank: 0, epoch: 1, step: 54979, loss is 0.1364
time: Tue Dec 19 12:18:32 2023 local_rank: 0, epoch: 1, step: 54984, loss is 0.1283
time: Tue Dec 19 12:19:15 2023 local_rank: 0, epoch: 1, step: 54989, loss is 0.1265
time: Tue Dec 19 12:19:58 2023 local_rank: 0, epoch: 1, step: 54994, loss is 0.11237
time: Tue Dec 19 12:20:41 2023 local_rank: 0, epoch: 1, step: 54999, loss is 0.11163
time: Tue Dec 19 12:21:24 2023 local_rank: 0, epoch: 1, step: 55004, loss is 0.1193
time: Tue Dec 19 12:22:07 2023 local_rank: 0, epoch: 1, step: 55009, loss is 0.1153
time: Tue Dec 19 12:22:50 2023 local_rank: 0, epoch: 1, step: 55014, loss is 0.1433
time: Tue Dec 19 12:23:33 2023 local_rank: 0, epoch: 1, step: 55019, loss is 0.1186
time: Tue Dec 19 12:24:16 2023 local_rank: 0, epoch: 1, step: 55024, loss is 0.1398
time: Tue Dec 19 12:24:59 2023 local_rank: 0, epoch: 1, step: 55029, loss is 0.1195
